retweet_origin_user_id,bias,retweet_origin_username,screen_name
816652616625168388,Right,Rep Andy Biggs,RepAndyBiggsAZ
246500501,Center,Geraldo Rivera,GeraldoRivera
1106771843929788419,Left,Hoodlum 🇺🇸,NotHoodlum
218975278,Left,Jennifer Truth Over Phony Balance Rubin 🇺🇦🇮🇱,JRubinBlogger
548384458,Left,Joyce Alene,JoyceWhiteVance
19502995,Left,Geoff Bennett,GeoffRBennett
963480595,Right,Mark Meadows,MarkMeadows
19682187,Left,Julián Castro,JulianCastro
26642006,Left,Alyssa Milano,Alyssa_Milano
25837289,Right,Bernard B. Kerik,BernardKerik
246103,Left,Dr. Jeffrey Guterman,JeffreyGuterman
586707638,Right,Sidney Powell 🇺🇸 🗽⚖️🚜🇺🇸 Attorney & Author,SidneyPowell1
454099919,Left,Michael McFaul,McFaul
377609596,Left,Eric Swalwell,ericswalwell
358545917,Right,Cernovich,Cernovich
1323730225067339784,Center,The White House,WhiteHouse
16740433,Right,DeAnna Lorraine 🇺🇸,DeAnna4Congress
50769180,Right,Laura Ingraham,IngrahamAngle
784575415457308672,Left,The Hoarse Whisperer,TheRealHoarse
121574367,Right,Lisa Boothe 🇺🇸,LisaMarieBoothe
1610496259,Center,Maihen,MaihenH
435232010,Left,Daniel Goldman,danielsgoldman
1157388784301793280,Right,Carlos Osweda,COsweda
713839291210792960,Left,Democratic Coalition,TheDemCoalition
715617989656051712,Right,The Trump Crisis 🎯,RWTrollPatrol
17919972,Left,Taylor Swift,taylorswift13
373157754,Center,Anonymous,YourAnonCentral
40353407,Left,Elie Mystal,ElieNYC
14542977,Left,Tom Joseph,TomJChicago
23554832,Left,Brown Eyed Susan,smc429
341194704,Right,Steve Guest,SteveGuest
3981225735,Right,Students For Trump,TrumpStudents
1029094268542099457,Right,Lance Gooden,Lancegooden
2908170952,Right,Diamond and Silk®,DiamondandSilk
467726691,Left,Cheri Jacobus,CheriJacobus
270132611,Left,Lindy Li,lindyli
402888514,Left,David Rothkopf,djrothkopf
89820928,Left,Andrea Mitchell,mitchellreports
342863309,Left,Beto O'Rourke,BetoORourke
63514682,Left,David Leavitt 🎲🎮🧙‍♂️🌈 🔜 Pax East,David_Leavitt
18208368,Left,Kurt Bardella,kurtbardella
1060487274,Right,Doug Collins,RepDougCollins
1265761679947771905,Left,Republican Voters Against Trump,AccountableGOP
2249531,Left,Andrew Feinberg,AndrewFeinberg
798953701972938752,Left,Nick Knudsen 🇺🇸,NickKnudsenUS
534881613,Right,Anna Khait,Annakhait
879147821915615233,Left,Duty To Warn 🔉,duty2warn
18839785,Right,Narendra Modi,narendramodi
16873455,Left,Bishop Talbert Swan,TalbertSwan
15416505,Right,Gov. Mike Huckabee,GovMikeHuckabee
832978972602429440,Right,Graham Allen,GrahamAllen_1
818876014390603776,Right,Melania Trump 45 Archived,FLOTUS45
22187085,Left,Citizens for Ethics,CREWcrew
235839823,Right,Herschel Walker,HerschelWalker
16106584,Right,Ian Miles Cheong,stillgray
563712850,Right,Victoria Toensing,VicToensing
10292132,Right,Joel Pollak,joelpollak
910492003359760384,Left,John O. Brennan,JohnBrennan
139823781,Left,bettemidler,BetteMidler
74820061,Center,Dave Wasserman,Redistrict
818893114979061761,Left,Jo,JoJoFromJerz
3141672447,Left,People for Bernie,People4Bernie
492833134,Right,Michael Nöthem,mikandynothem
3267456386,Right,The Columbia Bugle 🇺🇸,ColumbiaBugle
278145569,Right,Sen. Marsha Blackburn,MarshaBlackburn
5509762,Right,Sarah Huckabee Sanders,SarahHuckabee
366498596,Left,Andy Behrman,electroboyusa
468646961,Right,Tomi Lahren,TomiLahren
1011970623470489601,Left,Daniel Uhlfelder,DWUhlfelderLaw
138203134,Left,Alexandria Ocasio-Cortez,AOC
216881337,Right,Rand Paul,RandPaul
1045110787,Left,Mary L Trump,MaryLTrump
2865907814,Left,Jason Overstreet,JasonOverstreet
16513335,Left,VoteVets,votevets
846801440706351104,Left,"Dr. Rob Davidson MD, MPH",DrRobDavidson
784890784273215488,Left,Billy Baldwin,BillyBaldwin
22879254,Center,Andrew Weinstein,Weinsteinlaw
28745526,Left,Ben Meiselas,meiselasb
25202268,Right,Sara A. Carter,SaraCarterDC
10615232,Right,Chuck Grassley,ChuckGrassley
34756550,Right,CHIZ 🇺🇸,CHIZMAGA
18005085,Right,Mollie,MZHemingway
27943005,Center,Lesley Abravanel 🪩,lesleyabravanel
4165642155,Right,🦅 Eagle Wings 🦅,CRRJA5
1114631166,Right,DrConservaMom🇺🇸,ConservaMomUSA
102071743,Left,Governor Gretchen Whitmer,GovWhitmer
15764644,Left,Nancy Pelosi,SpeakerPelosi
1626294277,Center,The Spectator Index,spectatorindex
17995040,Right,Ben Shapiro,benshapiro
15446551,Left,Christine Pelosi,sfpelosi
31565351,Left,Ana Cabrera,AnaCabrera
459872442,Left,Tom Nichols,RadioFreeTom
130496027,Left,Jon Favreau,jonfavs
951302891708583936,Center,Machiavelli,TheRISEofROD
15907183,Left,Charlotte Clymer 🇺🇦,cmclymer
18831926,Left,Eric Feigl-Ding,DrEricDing
15464697,Left,Judd Legum,JuddLegum
83932539,Right,Praying Medic,prayingmedic
744070482832596992,Right,Josh Caplan,joshdcaplan
1612067526,Left,Bryan Behar,bryanbehar
16378486,Left,Ali Velshi,AliVelshi
18584875,Right,Hodgetwins,hodgetwins
1138886434478182401,Left,Kim Mangone,KimMangone
158426909,Left,Lawrence O'Donnell,Lawrence
44945327,Right,Franklin Graham,Franklin_Graham
20713061,Right,Newt Gingrich,newtgingrich
264501955,Right,Mike Coudrey,MichaelCoudrey
2471692340,Right,Dr.Darrell Scott,PastorDScott
739844197935644672,Left,Andrew—Author of America Rises On Substack—Wortman,AmoneyResists
36528126,Right,Kirstie Alley,kirstiealley
2974742145,Center,Miles Taylor,MilesTaylorUSA
18686907,Center,David Frum,davidfrum
521747968,Left,Jon Ossoff,ossoff
16912124,Left,Eric Garland,ericgarland
934049237628841984,Right,The Dirty Truth (Josh),AKA_RealDirty
777070140,Right,The Gen Z Perspective Newsletter,uncvrngthetruth
783792992,Left,Ilhan Omar,IlhanMN
20975060,Right,John Roberts,johnrobertsFox
61734492,Center,David Fahrenthold,Fahrenthold
1259714432,Right,Kimberly Klacik,kimKBaltimore
382685028,Left,Stephanie Ruhle,SRuhle
259395895,Left,John Harwood,JohnJHarwood
274891222,Center,BRIAN FRASER,bfraser747
820354372827758592,Left,Ben Rhodes,brhodes
18018355,Left,AprilDRyan,AprilDRyan
1092037021432897537,Right,Errol Webber,ErrolWebber
